rownames	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	geneid	species
Ssus11-MDH2.2	3.64E-60	-0.646157137	0.319	0.515	5.60E-56	2	Ssus11-MDH2	MDH2	Suss11
Ssus11-LMNA.2	3.97E-60	0.344860335	0.899	0.737	6.12E-56	2	Ssus11-LMNA	LMNA	Suss11
Ssus11-VPS28	4.11E-60	0.355595837	0.607	0.389	6.34E-56	2	Ssus11-VPS28	VPS28	Suss11
GRCh38-TPM1.2	4.59E-60	-1.661544845	0.103	0.307	7.07E-56	2	GRCh38-TPM1	TPM1	GRCh38
Ssus11-MGMT	5.45E-60	0.363306074	0.543	0.332	8.40E-56	2	Ssus11-MGMT	MGMT	Suss11
Ssus11-TNNT1.2	7.49E-60	-0.717622745	0.101	0.3	1.15E-55	2	Ssus11-TNNT1	TNNT1	Suss11
Ssus11-TSC22D3.2	1.10E-59	-0.541300804	0.16	0.369	1.70E-55	2	Ssus11-TSC22D3	TSC22D3	Suss11
Ssus11-BTBD2.1	1.49E-59	0.347484031	0.583	0.372	2.30E-55	2	Ssus11-BTBD2	BTBD2	Suss11
Ssus11-ENSSSCG00000030849	1.64E-59	-0.39582195	0.953	0.974	2.52E-55	2	Ssus11-ENSSSCG00000030849	ENSSSCG00000030849	Suss11
Ssus11-C1QTNF2	2.20E-59	0.302865342	0.412	0.217	3.39E-55	2	Ssus11-C1QTNF2	C1QTNF2	Suss11
Ssus11-SCARF2.1	5.04E-59	0.320469826	0.477	0.272	7.76E-55	2	Ssus11-SCARF2	SCARF2	Suss11
Ssus11-CCK.2	7.31E-59	-0.624898567	0.064	0.258	1.13E-54	2	Ssus11-CCK	CCK	Suss11
Ssus11-PYCARD	1.81E-58	0.271004012	0.318	0.146	2.79E-54	2	Ssus11-PYCARD	PYCARD	Suss11
Ssus11-CHORDC1.1	2.19E-58	-0.356552465	0.058	0.253	3.37E-54	2	Ssus11-CHORDC1	CHORDC1	Suss11
Ssus11-NDUFA1.2	3.93E-58	-0.548399186	0.188	0.39	6.06E-54	2	Ssus11-NDUFA1	NDUFA1	Suss11
Ssus11-DYNC1H1	5.97E-58	0.377665038	0.718	0.533	9.20E-54	2	Ssus11-DYNC1H1	DYNC1H1	Suss11
Ssus11-PYGB.2	6.84E-58	-0.609654302	0.087	0.281	1.05E-53	2	Ssus11-PYGB	PYGB	Suss11
Ssus11-SLC25A3.1	7.06E-58	-0.697696772	0.785	0.846	1.09E-53	2	Ssus11-SLC25A3	SLC25A3	Suss11
Ssus11-ENSSSCG00000049524	8.29E-58	0.298373269	0.477	0.265	1.28E-53	2	Ssus11-ENSSSCG00000049524	ENSSSCG00000049524	Suss11
Ssus11-ABLIM1.1	8.90E-58	-0.388278008	0.047	0.235	1.37E-53	2	Ssus11-ABLIM1	ABLIM1	Suss11
Ssus11-CACYBP.1	1.15E-57	-0.445619013	0.183	0.394	1.77E-53	2	Ssus11-CACYBP	CACYBP	Suss11
Ssus11-SPI1.1	1.26E-57	0.342060032	0.531	0.319	1.94E-53	2	Ssus11-SPI1	SPI1	Suss11
Ssus11-ENSSSCG00000038364	1.28E-57	0.382695463	0.714	0.537	1.98E-53	2	Ssus11-ENSSSCG00000038364	ENSSSCG00000038364	Suss11
Ssus11-ENSSSCG00000024669	1.72E-57	0.366652567	0.539	0.333	2.65E-53	2	Ssus11-ENSSSCG00000024669	ENSSSCG00000024669	Suss11
Ssus11-SHISA5	2.33E-57	0.310178293	0.531	0.314	3.59E-53	2	Ssus11-SHISA5	SHISA5	Suss11
Ssus11-ENSSSCG00000001927	2.47E-57	0.349330535	0.792	0.614	3.80E-53	2	Ssus11-ENSSSCG00000001927	ENSSSCG00000001927	Suss11
Ssus11-RPSA.2	2.80E-57	0.271278774	0.999	0.984	4.31E-53	2	Ssus11-RPSA	RPSA	Suss11
Ssus11-ENSSSCG00000000261	3.08E-57	0.402830774	0.739	0.543	4.75E-53	2	Ssus11-ENSSSCG00000000261	ENSSSCG00000000261	Suss11
GRCh38-HSPB1.2	3.19E-57	-1.617703075	0.041	0.222	4.92E-53	2	GRCh38-HSPB1	HSPB1	GRCh38
Ssus11-RYR2.1	6.34E-57	-0.345116106	0.022	0.197	9.77E-53	2	Ssus11-RYR2	RYR2	Suss11
Ssus11-ARHGEF10L	8.64E-57	0.316096422	0.463	0.259	1.33E-52	2	Ssus11-ARHGEF10L	ARHGEF10L	Suss11
Ssus11-CD93	8.78E-57	0.305324905	0.431	0.234	1.35E-52	2	Ssus11-CD93	CD93	Suss11
Ssus11-TXNIP.2	9.50E-57	-0.615015252	0.246	0.443	1.46E-52	2	Ssus11-TXNIP	TXNIP	Suss11
Ssus11-PGGHG	1.31E-56	0.260037335	0.336	0.162	2.02E-52	2	Ssus11-PGGHG	PGGHG	Suss11
Ssus11-PPIB.1	1.83E-56	0.328397032	0.922	0.817	2.83E-52	2	Ssus11-PPIB	PPIB	Suss11
Ssus11-AKR7A2	2.40E-56	0.274854566	0.357	0.177	3.70E-52	2	Ssus11-AKR7A2	AKR7A2	Suss11
Ssus11-ENSSSCG00000039825.2	3.11E-56	-0.594934826	0.097	0.289	4.79E-52	2	Ssus11-ENSSSCG00000039825	ENSSSCG00000039825	Suss11
Ssus11-ABHD12	3.50E-56	0.314102333	0.525	0.312	5.39E-52	2	Ssus11-ABHD12	ABHD12	Suss11
Ssus11-MPP1	1.29E-55	0.330822862	0.517	0.309	1.98E-51	2	Ssus11-MPP1	MPP1	Suss11
Ssus11-EIF6	1.34E-55	0.323834341	0.594	0.378	2.06E-51	2	Ssus11-EIF6	EIF6	Suss11
Ssus11-SDF4	1.37E-55	0.359520671	0.789	0.652	2.11E-51	2	Ssus11-SDF4	SDF4	Suss11
Ssus11-HCFC1R1	1.61E-55	0.277933347	0.405	0.215	2.49E-51	2	Ssus11-HCFC1R1	HCFC1R1	Suss11
GRCh38-MYL2.2	1.66E-55	-2.049037059	0.114	0.306	2.55E-51	2	GRCh38-MYL2	MYL2	GRCh38
Ssus11-DES.2	1.72E-55	-1.232652632	0.688	0.81	2.65E-51	2	Ssus11-DES	DES	Suss11
Ssus11-IRF3	2.81E-55	0.295992819	0.462	0.265	4.33E-51	2	Ssus11-IRF3	IRF3	Suss11
Ssus11-BCL7C	5.08E-55	0.336399682	0.571	0.364	7.83E-51	2	Ssus11-BCL7C	BCL7C	Suss11
Ssus11-GCK.2	5.97E-55	-0.922935318	0.122	0.314	9.20E-51	2	Ssus11-GCK	GCK	Suss11
Ssus11-TRAPPC5.1	7.55E-55	0.388480887	0.739	0.589	1.16E-50	2	Ssus11-TRAPPC5	TRAPPC5	Suss11
Ssus11-RFNG	7.67E-55	0.338411331	0.511	0.31	1.18E-50	2	Ssus11-RFNG	RFNG	Suss11
Ssus11-EMP1.1	9.82E-55	-0.467231538	0.443	0.63	1.51E-50	2	Ssus11-EMP1	EMP1	Suss11
GRCh38-HSPA1A.2	1.76E-54	-1.708722327	0.001	0.158	2.71E-50	2	GRCh38-HSPA1A	HSPA1A	GRCh38
Ssus11-SLC25A6	2.68E-54	0.290785288	0.995	0.974	4.13E-50	2	Ssus11-SLC25A6	SLC25A6	Suss11
Ssus11-RGL2	2.88E-54	0.311991086	0.494	0.296	4.44E-50	2	Ssus11-RGL2	RGL2	Suss11
Ssus11-PFKM.2	3.39E-54	-0.539357657	0.102	0.288	5.22E-50	2	Ssus11-PFKM	PFKM	Suss11
Ssus11-PBXIP1.1	4.23E-54	0.320215034	0.527	0.325	6.51E-50	2	Ssus11-PBXIP1	PBXIP1	Suss11
Ssus11-CNN2	4.28E-54	0.305780126	0.48	0.277	6.59E-50	2	Ssus11-CNN2	CNN2	Suss11
Ssus11-TSKU	4.29E-54	0.270767217	0.441	0.238	6.62E-50	2	Ssus11-TSKU	TSKU	Suss11
Ssus11-FHL2.1	7.22E-54	-0.482365397	0.243	0.439	1.11E-49	2	Ssus11-FHL2	FHL2	Suss11
Ssus11-GLMP	9.60E-54	0.324572561	0.576	0.364	1.48E-49	2	Ssus11-GLMP	GLMP	Suss11
Ssus11-GM2A.1	1.09E-53	0.294886324	0.637	0.404	1.68E-49	2	Ssus11-GM2A	GM2A	Suss11
Ssus11-PXDN	1.10E-53	0.374411189	0.791	0.663	1.70E-49	2	Ssus11-PXDN	PXDN	Suss11
Ssus11-GADD45G.1	1.59E-53	-0.485386484	0.137	0.33	2.44E-49	2	Ssus11-GADD45G	GADD45G	Suss11
Ssus11-ENSSSCG00000013436.2	2.50E-53	-0.834538778	0.729	0.812	3.86E-49	2	Ssus11-ENSSSCG00000013436	ENSSSCG00000013436	Suss11
Ssus11-ZNF106.1	3.17E-53	-0.346179585	0.052	0.231	4.89E-49	2	Ssus11-ZNF106	ZNF106	Suss11
Ssus11-TMEM86A	4.72E-53	0.258969047	0.307	0.146	7.27E-49	2	Ssus11-TMEM86A	TMEM86A	Suss11
Ssus11-ENG	5.26E-53	0.376784818	0.73	0.576	8.10E-49	2	Ssus11-ENG	ENG	Suss11
Ssus11-RPS3.1	6.11E-53	0.275685483	0.998	0.982	9.41E-49	2	Ssus11-RPS3	RPS3	Suss11
Ssus11-PLPP1.1	6.21E-53	0.341441921	0.639	0.436	9.57E-49	2	Ssus11-PLPP1	PLPP1	Suss11
GRCh38-MT-CO1.2	6.97E-53	-1.644348332	0.041	0.212	1.07E-48	2	GRCh38-MT-CO1	MT-CO1	GRCh38
GRCh38-CRYAB.2	7.42E-53	-1.435902216	0.017	0.178	1.14E-48	2	GRCh38-CRYAB	CRYAB	GRCh38
Ssus11-HADHB.2	8.08E-53	-0.632235908	0.217	0.398	1.24E-48	2	Ssus11-HADHB	HADHB	Suss11
Ssus11-ATP5F1C.2	9.54E-53	-0.514466306	0.418	0.595	1.47E-48	2	Ssus11-ATP5F1C	ATP5F1C	Suss11
Ssus11-RPS16.1	1.29E-52	0.269049488	1	0.986	1.99E-48	2	Ssus11-RPS16	RPS16	Suss11
Ssus11-CAPN1	1.31E-52	0.308154796	0.486	0.29	2.02E-48	2	Ssus11-CAPN1	CAPN1	Suss11
Ssus11-FAM3A	1.37E-52	0.322817306	0.505	0.313	2.11E-48	2	Ssus11-FAM3A	FAM3A	Suss11
Ssus11-HOMER2.2	1.37E-52	-0.474715432	0.074	0.254	2.12E-48	2	Ssus11-HOMER2	HOMER2	Suss11
Ssus11-ATP5PO.1	1.42E-52	-0.565402121	0.59	0.733	2.18E-48	2	Ssus11-ATP5PO	ATP5PO	Suss11
Ssus11-SFRP1.1	2.27E-52	0.337030675	0.683	0.469	3.50E-48	2	Ssus11-SFRP1	SFRP1	Suss11
Ssus11-SSBP4	2.31E-52	0.26753067	0.402	0.218	3.55E-48	2	Ssus11-SSBP4	SSBP4	Suss11
Ssus11-ATP5ME.2	2.34E-52	-0.718049907	0.852	0.903	3.60E-48	2	Ssus11-ATP5ME	ATP5ME	Suss11
Ssus11-FCER1G.1	3.02E-52	0.280144474	0.706	0.47	4.64E-48	2	Ssus11-FCER1G	FCER1G	Suss11
Ssus11-PDE4DIP.2	4.61E-52	-0.433225935	0.084	0.268	7.10E-48	2	Ssus11-PDE4DIP	PDE4DIP	Suss11
Ssus11-MYO1F.1	4.99E-52	0.25492713	0.415	0.22	7.68E-48	2	Ssus11-MYO1F	MYO1F	Suss11
Ssus11-AP5Z1	5.22E-52	0.285677523	0.421	0.233	8.04E-48	2	Ssus11-AP5Z1	AP5Z1	Suss11
Ssus11-FKBP4.1	6.01E-52	-0.542115301	0.273	0.46	9.26E-48	2	Ssus11-FKBP4	FKBP4	Suss11
Ssus11-FUS	6.06E-52	0.2942309	0.574	0.356	9.33E-48	2	Ssus11-FUS	FUS	Suss11
Ssus11-TRIM47	6.23E-52	0.31026751	0.509	0.305	9.60E-48	2	Ssus11-TRIM47	TRIM47	Suss11
Ssus11-ENSSSCG00000003903.2	6.24E-52	-0.616347143	0.683	0.787	9.61E-48	2	Ssus11-ENSSSCG00000003903	ENSSSCG00000003903	Suss11
Ssus11-CCDC85B	1.52E-51	0.296125581	0.42	0.236	2.34E-47	2	Ssus11-CCDC85B	CCDC85B	Suss11
Ssus11-SMTN	1.61E-51	0.339285906	0.522	0.325	2.48E-47	2	Ssus11-SMTN	SMTN	Suss11
Ssus11-SRL.2	2.95E-51	-0.486403797	0.09	0.27	4.54E-47	2	Ssus11-SRL	SRL	Suss11
Ssus11-NECAP2	4.29E-51	0.265728883	0.392	0.212	6.61E-47	2	Ssus11-NECAP2	NECAP2	Suss11
Ssus11-CHCHD10.2	4.91E-51	-1.041468202	0.562	0.697	7.57E-47	2	Ssus11-CHCHD10	CHCHD10	Suss11
Ssus11-MFSD10	7.13E-51	0.259585582	0.391	0.21	1.10E-46	2	Ssus11-MFSD10	MFSD10	Suss11
Ssus11-DENND2B	8.30E-51	0.298734086	0.455	0.267	1.28E-46	2	Ssus11-DENND2B	DENND2B	Suss11
Ssus11-SURF4	8.55E-51	0.350718485	0.701	0.521	1.32E-46	2	Ssus11-SURF4	SURF4	Suss11
Ssus11-ITGB5	1.13E-50	0.310975259	0.564	0.365	1.74E-46	2	Ssus11-ITGB5	ITGB5	Suss11
Ssus11-SEPTIN9	1.23E-50	0.304686221	0.542	0.341	1.89E-46	2	Ssus11-SEPTIN9	SEPTIN9	Suss11
Ssus11-ATP1B1.1	1.43E-50	-0.414002391	0.146	0.339	2.20E-46	2	Ssus11-ATP1B1	ATP1B1	Suss11
Ssus11-PER1.2	1.70E-50	-0.455959751	0.208	0.399	2.62E-46	2	Ssus11-PER1	PER1	Suss11
Ssus11-THBS3.1	2.30E-50	0.333893531	0.503	0.308	3.54E-46	2	Ssus11-THBS3	THBS3	Suss11
GRCh38-TTN.2	3.57E-50	-0.741665573	0.021	0.177	5.49E-46	2	GRCh38-TTN	TTN	GRCh38
Ssus11-ENSSSCG00000010212.1	3.73E-50	-0.283647234	0.018	0.175	5.74E-46	2	Ssus11-ENSSSCG00000010212	ENSSSCG00000010212	Suss11
Ssus11-SNX17	4.55E-50	0.295333577	0.476	0.283	7.01E-46	2	Ssus11-SNX17	SNX17	Suss11
Ssus11-CHMP1A	5.05E-50	0.280649436	0.45	0.259	7.78E-46	2	Ssus11-CHMP1A	CHMP1A	Suss11
Ssus11-LRRC39.1	5.50E-50	-0.287140997	0.012	0.163	8.47E-46	2	Ssus11-LRRC39	LRRC39	Suss11
Ssus11-IRS2.1	6.20E-50	-0.263088468	0.021	0.179	9.55E-46	2	Ssus11-IRS2	IRS2	Suss11
Ssus11-MATN4.2	1.62E-49	0.313053461	0.52	0.313	2.50E-45	2	Ssus11-MATN4	MATN4	Suss11
Ssus11-SH3BGR.2	1.83E-49	-0.541963135	0.147	0.327	2.82E-45	2	Ssus11-SH3BGR	SH3BGR	Suss11
Ssus11-PSMB10	1.98E-49	0.273087613	0.421	0.238	3.05E-45	2	Ssus11-PSMB10	PSMB10	Suss11
Ssus11-ENSSSCG00000002907.2	2.70E-49	-0.619828884	0.681	0.783	4.16E-45	2	Ssus11-ENSSSCG00000002907	ENSSSCG00000002907	Suss11
Ssus11-NDUFB5.2	3.66E-49	-0.498428281	0.297	0.475	5.64E-45	2	Ssus11-NDUFB5	NDUFB5	Suss11
Ssus11-COX17.2	4.23E-49	-0.387915605	0.178	0.369	6.52E-45	2	Ssus11-COX17	COX17	Suss11
Ssus11-TECRL.1	4.33E-49	-0.301050384	0.025	0.183	6.66E-45	2	Ssus11-TECRL	TECRL	Suss11
Ssus11-FBXO40.1	4.50E-49	-0.29335878	0.021	0.176	6.93E-45	2	Ssus11-FBXO40	FBXO40	Suss11
Ssus11-GLIPR2	4.74E-49	0.311890067	0.487	0.297	7.29E-45	2	Ssus11-GLIPR2	GLIPR2	Suss11
Ssus11-NUBP2	8.75E-49	0.265987838	0.365	0.194	1.35E-44	2	Ssus11-NUBP2	NUBP2	Suss11
Ssus11-OS9	1.02E-48	0.294068534	0.557	0.361	1.57E-44	2	Ssus11-OS9	OS9	Suss11
Ssus11-CITED1.1	1.30E-48	-0.275710523	0.02	0.173	2.01E-44	2	Ssus11-CITED1	CITED1	Suss11
Ssus11-CLEC11A	1.35E-48	0.303035233	0.449	0.261	2.09E-44	2	Ssus11-CLEC11A	CLEC11A	Suss11
Ssus11-DNASE1L1.1	1.62E-48	0.277798409	0.537	0.327	2.49E-44	2	Ssus11-DNASE1L1	DNASE1L1	Suss11
Ssus11-SLC39A7	1.76E-48	0.289502905	0.494	0.3	2.71E-44	2	Ssus11-SLC39A7	SLC39A7	Suss11
Ssus11-CDH2.2	2.33E-48	-0.360730827	0.068	0.24	3.59E-44	2	Ssus11-CDH2	CDH2	Suss11
Ssus11-P3H4	2.69E-48	0.310267343	0.452	0.269	4.14E-44	2	Ssus11-P3H4	P3H4	Suss11
Ssus11-PSMG4.1	4.74E-48	0.333150678	0.625	0.43	7.30E-44	2	Ssus11-PSMG4	PSMG4	Suss11
GRCh38-MT-CO3.2	6.58E-48	-1.405629375	0.086	0.258	1.01E-43	2	GRCh38-MT-CO3	MT-CO3	GRCh38
Ssus11-MAGED1.1	7.27E-48	0.321261922	0.61	0.41	1.12E-43	2	Ssus11-MAGED1	MAGED1	Suss11
Ssus11-GOT1.2	1.09E-47	-0.396387097	0.082	0.254	1.67E-43	2	Ssus11-GOT1	GOT1	Suss11
GRCh38-HSP90AA1.2	1.18E-47	-1.226504032	0.013	0.159	1.81E-43	2	GRCh38-HSP90AA1	HSP90AA1	GRCh38
Ssus11-HSPA6.1	1.96E-47	-0.395014412	0.029	0.183	3.02E-43	2	Ssus11-HSPA6	HSPA6	Suss11
Ssus11-CAMK2A.2	2.84E-47	-0.320954405	0.025	0.177	4.38E-43	2	Ssus11-CAMK2A	CAMK2A	Suss11
Ssus11-ENSSSCG00000039894	4.52E-47	0.260555201	0.919	0.793	6.97E-43	2	Ssus11-ENSSSCG00000039894	ENSSSCG00000039894	Suss11
Ssus11-YIPF2	5.83E-47	0.265918186	0.46	0.272	8.99E-43	2	Ssus11-YIPF2	YIPF2	Suss11
Ssus11-ENSSSCG00000012979	7.42E-47	0.333830699	0.754	0.626	1.14E-42	2	Ssus11-ENSSSCG00000012979	ENSSSCG00000012979	Suss11
Ssus11-DIPK1B.1	7.99E-47	0.284033926	0.429	0.252	1.23E-42	2	Ssus11-DIPK1B	DIPK1B	Suss11
Ssus11-MAP1LC3A	1.48E-46	0.322586676	0.766	0.626	2.28E-42	2	Ssus11-MAP1LC3A	MAP1LC3A	Suss11
Ssus11-DNM2	1.67E-46	0.284780777	0.443	0.264	2.57E-42	2	Ssus11-DNM2	DNM2	Suss11
Ssus11-CAVIN1	1.91E-46	0.330619546	0.669	0.488	2.94E-42	2	Ssus11-CAVIN1	CAVIN1	Suss11
Ssus11-ENSSSCG00000032503.2	2.18E-46	-0.398804612	0.028	0.179	3.35E-42	2	Ssus11-ENSSSCG00000032503	ENSSSCG00000032503	Suss11
Ssus11-GPX4.1	2.89E-46	0.305942597	0.907	0.845	4.46E-42	2	Ssus11-GPX4	GPX4	Suss11
Ssus11-GATD1	3.79E-46	0.277488381	0.407	0.235	5.83E-42	2	Ssus11-GATD1	GATD1	Suss11
Ssus11-NUMA1.1	4.04E-46	0.30343541	0.559	0.368	6.23E-42	2	Ssus11-NUMA1	NUMA1	Suss11
Ssus11-ANXA6	4.06E-46	0.314331039	0.65	0.47	6.26E-42	2	Ssus11-ANXA6	ANXA6	Suss11
Ssus11-CD68.1	4.14E-46	0.305065475	0.483	0.293	6.37E-42	2	Ssus11-CD68	CD68	Suss11
Ssus11-MYOM1.1	5.04E-46	-0.34219434	0.074	0.243	7.77E-42	2	Ssus11-MYOM1	MYOM1	Suss11
Ssus11-TUBB6	6.97E-46	0.299362269	0.533	0.334	1.07E-41	2	Ssus11-TUBB6	TUBB6	Suss11
Ssus11-UQCRQ.2	8.27E-46	-0.582379042	0.537	0.678	1.27E-41	2	Ssus11-UQCRQ	UQCRQ	Suss11
Ssus11-ENSSSCG00000008686	8.65E-46	0.262646246	0.399	0.225	1.33E-41	2	Ssus11-ENSSSCG00000008686	ENSSSCG00000008686	Suss11
GRCh38-MYH7.2	9.67E-46	-1.751668601	0.119	0.289	1.49E-41	2	GRCh38-MYH7	MYH7	GRCh38
Ssus11-SOD2	1.10E-45	-0.366907914	0.174	0.356	1.70E-41	2	Ssus11-SOD2	SOD2	Suss11
Ssus11-CDH13.2	1.12E-45	-0.394612107	0.11	0.282	1.73E-41	2	Ssus11-CDH13	CDH13	Suss11
Ssus11-ENSSSCG00000027840	1.20E-45	0.325304936	0.77	0.64	1.85E-41	2	Ssus11-ENSSSCG00000027840	ENSSSCG00000027840	Suss11
Ssus11-RPS5.2	1.26E-45	0.266621467	0.994	0.968	1.94E-41	2	Ssus11-RPS5	RPS5	Suss11
Ssus11-NELFB	1.57E-45	0.252502473	0.369	0.201	2.42E-41	2	Ssus11-NELFB	NELFB	Suss11
Ssus11-PTN.1	1.59E-45	0.265057812	0.811	0.629	2.45E-41	2	Ssus11-PTN	PTN	Suss11
Ssus11-HGS	2.84E-45	0.283667222	0.481	0.298	4.37E-41	2	Ssus11-HGS	HGS	Suss11
Ssus11-MLIP.1	3.57E-45	-0.290509852	0.04	0.194	5.50E-41	2	Ssus11-MLIP	MLIP	Suss11
GRCh38-NPPA.2	3.66E-45	-1.308528685	0.046	0.199	5.64E-41	2	GRCh38-NPPA	NPPA	GRCh38
Ssus11-VWA1	5.20E-45	0.258764059	0.367	0.203	8.01E-41	2	Ssus11-VWA1	VWA1	Suss11
Ssus11-NENF.1	6.62E-45	0.32777723	0.596	0.419	1.02E-40	2	Ssus11-NENF	NENF	Suss11
Ssus11-CLIC5.1	6.81E-45	-0.316783317	0.061	0.224	1.05E-40	2	Ssus11-CLIC5	CLIC5	Suss11
Ssus11-CPSF6.1	7.04E-45	0.318856724	0.565	0.349	1.08E-40	2	Ssus11-CPSF6	CPSF6	Suss11
Ssus11-ENSSSCG00000007646	7.90E-45	0.340077695	0.761	0.639	1.22E-40	2	Ssus11-ENSSSCG00000007646	ENSSSCG00000007646	Suss11
Ssus11-ENSSSCG00000032235.1	1.58E-44	0.318173912	0.552	0.368	2.43E-40	2	Ssus11-ENSSSCG00000032235	ENSSSCG00000032235	Suss11
Ssus11-RCAN1.1	1.84E-44	-0.368018565	0.095	0.262	2.83E-40	2	Ssus11-RCAN1	RCAN1	Suss11
GRCh38-UBC.2	2.16E-44	-1.046909483	0.022	0.164	3.33E-40	2	GRCh38-UBC	UBC	GRCh38
Ssus11-ARFRP1	2.89E-44	0.252192912	0.361	0.199	4.45E-40	2	Ssus11-ARFRP1	ARFRP1	Suss11
Ssus11-ENSSSCG00000022246.1	3.13E-44	0.275921318	0.438	0.258	4.82E-40	2	Ssus11-ENSSSCG00000022246	ENSSSCG00000022246	Suss11
Ssus11-HSPA4	3.18E-44	-0.356396967	0.175	0.355	4.90E-40	2	Ssus11-HSPA4	HSPA4	Suss11
Ssus11-PTX3.2	3.94E-44	-0.475823264	0.039	0.189	6.06E-40	2	Ssus11-PTX3	PTX3	Suss11
Ssus11-ENSSSCG00000032959	5.58E-44	0.299552682	0.602	0.424	8.60E-40	2	Ssus11-ENSSSCG00000032959	ENSSSCG00000032959	Suss11
Ssus11-NMRK2.1	5.62E-44	-0.260140065	0.013	0.15	8.66E-40	2	Ssus11-NMRK2	NMRK2	Suss11
GRCh38-MYL7.2	6.26E-44	-2.167013106	0.231	0.415	9.65E-40	2	GRCh38-MYL7	MYL7	GRCh38
Ssus11-ENSSSCG00000032166.1	1.22E-43	-0.476237852	0.525	0.666	1.88E-39	2	Ssus11-ENSSSCG00000032166	ENSSSCG00000032166	Suss11
Ssus11-VAT1	1.24E-43	0.260212184	0.455	0.273	1.92E-39	2	Ssus11-VAT1	VAT1	Suss11
Ssus11-VDAC2.2	1.39E-43	-0.393295038	0.18	0.354	2.15E-39	2	Ssus11-VDAC2	VDAC2	Suss11
Ssus11-PPP1R3C.1	1.50E-43	-0.288403611	0.041	0.193	2.31E-39	2	Ssus11-PPP1R3C	PPP1R3C	Suss11
GRCh38-HSPA8.2	1.77E-43	-0.811818101	0.008	0.14	2.73E-39	2	GRCh38-HSPA8	HSPA8	GRCh38
Ssus11-PAM.1	2.15E-43	-0.464574679	0.327	0.495	3.31E-39	2	Ssus11-PAM	PAM	Suss11
Ssus11-MSRB1.1	2.83E-43	0.283231134	0.491	0.306	4.36E-39	2	Ssus11-MSRB1	MSRB1	Suss11
Ssus11-RETREG1.1	3.81E-43	-0.277604017	0.043	0.193	5.86E-39	2	Ssus11-RETREG1	RETREG1	Suss11
Ssus11-ENSSSCG00000035364	4.39E-43	0.305238841	0.571	0.392	6.77E-39	2	Ssus11-ENSSSCG00000035364	ENSSSCG00000035364	Suss11
Ssus11-ALDOA.1	4.74E-43	-0.441147875	0.239	0.412	7.31E-39	2	Ssus11-ALDOA	ALDOA	Suss11
Ssus11-AKT1	7.01E-43	0.29286655	0.578	0.396	1.08E-38	2	Ssus11-AKT1	AKT1	Suss11
Ssus11-PRKCSH	7.53E-43	0.289805871	0.547	0.365	1.16E-38	2	Ssus11-PRKCSH	PRKCSH	Suss11
Ssus11-ITGB1BP2.1	1.54E-42	-0.255115471	0.027	0.168	2.37E-38	2	Ssus11-ITGB1BP2	ITGB1BP2	Suss11
Ssus11-KLHL41.1	1.71E-42	-0.264491493	0.03	0.173	2.64E-38	2	Ssus11-KLHL41	KLHL41	Suss11
Ssus11-CALM1.1	1.83E-42	-0.393197125	0.701	0.821	2.81E-38	2	Ssus11-CALM1	CALM1	Suss11
Ssus11-PTPA	1.85E-42	0.283856879	0.529	0.351	2.85E-38	2	Ssus11-PTPA	PTPA	Suss11
Ssus11-NOP53	2.01E-42	0.278372116	0.489	0.311	3.10E-38	2	Ssus11-NOP53	NOP53	Suss11
Ssus11-NRAP.2	2.11E-42	-0.430182138	0.096	0.258	3.25E-38	2	Ssus11-NRAP	NRAP	Suss11
Ssus11-CFL2.1	2.55E-42	-0.34780794	0.148	0.32	3.92E-38	2	Ssus11-CFL2	CFL2	Suss11
Ssus11-MYDGF	2.61E-42	0.283724414	0.529	0.344	4.01E-38	2	Ssus11-MYDGF	MYDGF	Suss11
Ssus11-ENSSSCG00000002646	3.05E-42	0.327903932	0.604	0.433	4.70E-38	2	Ssus11-ENSSSCG00000002646	ENSSSCG00000002646	Suss11
GRCh38-DLK1.2	3.05E-42	-0.826487957	0.002	0.127	4.70E-38	2	GRCh38-DLK1	DLK1	GRCh38
Ssus11-ATP5IF1.2	3.98E-42	-0.533837419	0.767	0.843	6.14E-38	2	Ssus11-ATP5IF1	ATP5IF1	Suss11
GRCh38-MT-ND3.2	4.18E-42	-1.144035417	0.041	0.185	6.43E-38	2	GRCh38-MT-ND3	MT-ND3	GRCh38
Ssus11-ARHGAP1	4.83E-42	0.255022632	0.442	0.268	7.45E-38	2	Ssus11-ARHGAP1	ARHGAP1	Suss11
Ssus11-NDUFS4.1	5.55E-42	-0.418478057	0.269	0.436	8.55E-38	2	Ssus11-NDUFS4	NDUFS4	Suss11
Ssus11-SHISA4.1	5.71E-42	0.251589376	0.54	0.338	8.79E-38	2	Ssus11-SHISA4	SHISA4	Suss11
Ssus11-FITM1.1	5.79E-42	-0.256431079	0.027	0.168	8.91E-38	2	Ssus11-FITM1	FITM1	Suss11
Ssus11-MYH7B.2	6.14E-42	-0.437508508	0.113	0.277	9.45E-38	2	Ssus11-MYH7B	MYH7B	Suss11
Ssus11-RALY	8.21E-42	0.317650646	0.561	0.388	1.26E-37	2	Ssus11-RALY	RALY	Suss11
Ssus11-PLEKHO1.1	1.19E-41	0.284120172	0.614	0.416	1.83E-37	2	Ssus11-PLEKHO1	PLEKHO1	Suss11
